2	3	39.4395
1	2	39.0702
29	39	38.306
5	3	36.767
26	34	35.4846
34	2	35.008
5	2	34.0469
34	3	32.6809
2	13	32.0717
39	42	32.0005
34	12	31.7905
24	2	31.7702
26	2	31.4438
1	27	31.427
12	3	30.972
38	2	30.7847
29	42	30.4702
7	3	30.2678
23	40	29.8852
32	13	29.8807
5	12	29.824
5	7	29.6364
5	26	29.4485
2	39	29.3152
5	34	29.173
1	3	28.7242
32	2	28.2892
26	3	27.951
11	2	27.9073
7	2	27.569
21	3	27.42
1	34	26.7419
3	47	26.6775
21	2	26.6401
24	7	26.0329
9	2	25.4201
24	34	25.3696
34	13	25.3396
5	24	25.2982
29	2	25.2383
34	39	24.8989
2	12	24.329
5	13	24.0535
34	7	24.0161
26	7	23.8916
3	13	23.7983
24	3	23.6169
26	39	23.5369
1	26	23.4734
4	2	23.4638
32	42	23.355
12	13	22.9927
16	40	22.9216
26	32	22.9039
5	11	22.8571
4	3	22.809
2	40	22.7959
1	38	22.5308
2	42	22.347
21	12	22.3054
24	26	22.2688
26	11	21.9492
9	3	21.9214
3	39	21.8757
32	34	21.7443
1	32	21.5325
11	3	21.338
38	40	21.2962
29	34	21.2766
9	11	21.1014
11	38	20.857
27	2	20.7201
21	34	20.6284
1	29	20.259
38	3	19.5707
38	39	19.1706
4	38	18.9434
29	38	18.9299
21	1	18.6598
1	40	18.6383
6	26	18.6235
5	9	18.4637
21	32	18.4466
26	42	17.8307
14	3	17.7877
34	42	17.7743
9	7	17.5644
9	24	17.5162
23	29	17.3019
4	24	17.2328
14	1	17.2016
1	48	17.1448
1	43	16.6667
4	9	16.2905
23	2	16.2503
14	5	16.2186
37	43	16.0375
12	48	15.9298
3	40	15.9215
4	34	15.8978
27	32	15.8114
23	38	15.7435
23	34	15.729
14	2	15.6359
10	1	15.5587
2	48	15.5023
37	3	15.4784
5	48	15.4303
11	48	15.4303
37	47	15.4083
23	11	15.4047
19	30	15.3897
27	3	15.2333
3	48	15.0696
8	3	14.8934
6	3	14.6233
10	28	14.6119
3	45	14.5659
8	2	14.4698
25	47	14.3799
16	2	14.3523
31	34	14.3032
6	1	14.1414
19	2	14.1201
1	25	13.9693
16	23	13.8642
9	47	13.7973
14	13	13.7919
6	12	13.5564
3	41	13.4579
20	10	13.4535
9	25	13.2647
17	12	13.2453
14	32	13.1876
30	38	13.1579
25	2	13.032
1	41	13.0145
6	2	12.6851
26	31	12.555
5	27	12.3744
36	12	12.3613
16	3	12.3104
19	1	12.2977
8	13	12.2271
19	48	12.1988
6	32	12.1967
9	30	11.9808
4	45	11.8431
27	13	11.8114
19	32	11.7851
30	2	11.7706
8	7	11.7172
17	3	11.6088
42	49	11.6052
1	28	11.5944
34	41	11.3901
24	36	11.3592
2	41	11.3318
16	19	11.2938
31	12	11.248
4	16	11.1214
1	37	10.6917
20	1	10.6752
8	5	10.6749
34	36	10.4793
30	47	10.3905
36	3	10.3181
20	26	10.2512
5	45	10.1419
31	3	10.1399
4	17	10.113
36	2	10.0246
36	7	9.8571
5	31	9.8058
28	39	9.787
17	2	9.6674
20	22	9.5482
11	49	9.5238
14	47	9.4438
17	30	9.3659
17	38	9.3659
32	41	9.3124
25	3	9.2862
22	28	8.8889
28	29	8.6977
28	34	8.6977
14	31	8.6747
6	41	8.5186
8	1	8.4721
37	40	8.4215
4	25	8.3894
9	45	8.3225
20	3	8.2792
6	22	8.1312
10	3	8.0444
5	37	7.698
3	49	7.6598
12	49	7.6472
2	45	7.5475
22	1	7.4536
7	49	7.3176
33	3	6.4394
1	46	6.0734
