1	2	2
1	6	7
1	10	2
1	16	3
1	17	6
1	22	4
1	24	2
1	27	2
1	32	2
1	33	2
1	42	3
1	63	2
1	65	3
1	81	2
2	3	4
2	5	3
2	6	2
2	8	2
2	12	2
2	17	2
2	18	3
2	36	3
2	37	4
2	49	2
2	52	2
2	80	3
3	11	2
3	35	3
3	37	2
3	38	2
3	71	2
4	23	2
5	37	2
5	52	2
6	17	5
6	65	3
7	9	2
8	29	2
8	69	2
8	74	2
9	62	2
10	23	3
11	18	2
11	20	2
14	28	2
18	37	2
19	21	2
26	60	2
28	57	2
32	58	2
33	42	2
36	47	2
67	68	2
