2	3	83
1	2	79
1	3	79
3	4	57
2	4	53
1	4	49
2	7	33
2	9	27
3	7	27
1	7	26
1	5	25
1	10	25
5	3	23
2	8	22
3	8	22
3	9	22
2	10	21
5	2	21
1	9	20
9	8	20
1	8	19
1	12	19
1	13	19
2	20	19
3	10	19
6	1	19
13	3	19
12	2	18
7	9	17
13	4	17
13	19	17
1	15	16
1	20	15
1	22	15
3	19	15
4	9	15
13	2	15
1	28	14
2	14	14
2	15	14
3	20	14
12	3	14
26	3	14
26	4	14
3	15	13
4	8	13
7	4	13
16	2	13
20	9	13
26	2	13
2	21	12
5	4	12
22	2	12
1	18	11
1	19	11
1	21	11
1	31	11
1	33	11
2	19	11
3	21	11
4	19	11
5	9	11
7	8	11
11	2	11
11	37	11
25	2	11
1	35	10
2	28	10
2	48	10
3	58	10
4	20	10
5	8	10
6	62	10
7	20	10
10	4	10
12	4	10
16	3	10
22	3	10
24	2	10
25	3	10
40	1	10
61	2	10
1	25	9
1	38	9
1	50	9
2	33	9
3	33	9
3	35	9
3	85	9
3	86	9
6	2	9
6	82	9
7	10	9
7	48	9
12	7	9
15	4	9
24	1	9
30	45	9
60	1	9
60	2	9
1	14	8
1	27	8
1	29	8
1	49	8
1	54	8
1	58	8
1	61	8
2	35	8
2	44	8
2	49	8
2	53	8
2	55	8
2	58	8
2	79	8
2	84	8
2	85	8
3	14	8
3	50	8
3	53	8
3	80	8
4	35	8
5	20	8
5	52	8
6	4	8
7	54	8
12	9	8
16	1	8
16	4	8
20	8	8
29	14	8
53	96	8
60	3	8
60	61	8
61	3	8
74	17	8
88	2	8
88	60	8
88	61	8
1	11	7
1	26	7
1	34	7
1	53	7
1	85	7
2	23	7
2	50	7
2	54	7
2	63	7
2	65	7
2	80	7
2	96	7
3	49	7
3	54	7
3	84	7
3	96	7
4	21	7
5	10	7
7	49	7
7	58	7
7	84	7
7	85	7
7	86	7
8	65	7
11	14	7
12	20	7
13	15	7
14	36	7
16	11	7
16	14	7
22	4	7
24	3	7
25	4	7
25	9	7
25	66	7
28	3	7
51	72	7
88	1	7
88	3	7
95	4	7
1	30	6
1	45	6
1	48	6
1	55	6
1	57	6
1	62	6
1	75	6
1	82	6
1	86	6
1	96	6
2	29	6
2	39	6
2	64	6
2	86	6
3	30	6
3	48	6
3	78	6
3	79	6
3	97	6
4	14	6
4	49	6
4	65	6
5	14	6
5	28	6
5	33	6
5	65	6
6	3	6
6	17	6
6	18	6
6	23	6
6	46	6
6	73	6
8	23	6
9	86	6
10	20	6
10	54	6
11	18	6
11	29	6
12	8	6
12	54	6
13	9	6
13	21	6
14	21	6
16	5	6
20	54	6
22	5	6
22	14	6
22	35	6
24	5	6
26	5	6
30	4	6
32	14	6
40	2	6
41	13	6
63	55	6
73	17	6
1	36	5
1	43	5
1	56	5
1	59	5
1	63	5
1	65	5
1	66	5
1	70	5
1	76	5
1	79	5
1	80	5
1	84	5
2	31	5
2	66	5
2	76	5
2	81	5
2	95	5
2	97	5
3	18	5
3	23	5
3	31	5
3	32	5
3	44	5
3	47	5
3	55	5
3	65	5
3	66	5
3	75	5
3	95	5
4	31	5
4	33	5
4	53	5
4	66	5
4	84	5
4	96	5
5	7	5
5	11	5
5	15	5
5	19	5
6	15	5
6	26	5
6	74	5
7	79	5
7	80	5
8	49	5
8	80	5
8	85	5
9	14	5
9	49	5
9	54	5
9	80	5
9	85	5
10	9	5
10	58	5
12	13	5
12	19	5
13	5	5
13	30	5
13	44	5
13	49	5
15	8	5
15	9	5
15	45	5
16	9	5
16	20	5
16	21	5
16	53	5
17	68	5
22	9	5
23	67	5
24	4	5
24	10	5
25	7	5
25	20	5
27	2	5
28	10	5
30	19	5
31	68	5
37	14	5
37	29	5
37	32	5
40	3	5
40	4	5
40	5	5
41	1	5
41	2	5
42	1	5
42	5	5
69	3	5
70	2	5
77	10	5
80	86	5
89	1	5
99	68	5
1	23	4
1	46	4
1	52	4
1	67	4
1	71	4
1	77	4
1	95	4
1	99	4
1	100	4
2	32	4
2	36	4
2	47	4
2	57	4
2	78	4
2	83	4
3	34	4
3	36	4
3	45	4
3	59	4
3	64	4
4	18	4
4	36	4
4	50	4
4	58	4
4	81	4
4	85	4
4	97	4
5	21	4
5	25	4
5	27	4
5	31	4
6	10	4
6	14	4
6	21	4
6	29	4
6	59	4
6	67	4
6	71	4
6	93	4
7	19	4
7	35	4
8	14	4
8	19	4
8	33	4
8	58	4
8	86	4
9	21	4
9	48	4
9	65	4
9	84	4
11	57	4
12	10	4
12	17	4
12	25	4
12	64	4
12	80	4
12	85	4
12	86	4
13	7	4
13	8	4
13	20	4
13	33	4
13	50	4
15	14	4
15	23	4
15	30	4
15	33	4
15	67	4
18	14	4
20	48	4
20	66	4
20	86	4
21	19	4
22	21	4
23	14	4
24	11	4
24	14	4
25	8	4
26	15	4
26	18	4
26	21	4
26	78	4
30	21	4
31	99	4
32	29	4
35	57	4
37	18	4
37	87	4
38	2	4
38	3	4
41	4	4
41	14	4
41	15	4
42	3	4
44	19	4
47	66	4
51	1	4
52	3	4
54	8	4
56	57	4
60	4	4
62	2	4
69	2	4
69	4	4
73	74	4
77	4	4
81	14	4
85	86	4
89	2	4
89	3	4
90	2	4
92	11	4
