1	3	8
1	10	7
2	3	5
6	1	5
1	4	3
1	5	3
1	17	3
2	23	3
6	4	3
7	18	3
1	11	2
1	13	2
1	18	2
2	14	2
4	3	2
6	3	2
6	10	2
10	3	2
13	4	2
18	3	2
22	14	2
33	11	2
1	9	1
1	16	1
1	24	1
1	25	1
1	27	1
1	28	1
1	35	1
2	5	1
2	13	1
2	27	1
5	3	1
5	31	1
6	11	1
6	19	1
6	32	1
6	35	1
7	14	1
7	26	1
8	3	1
9	3	1
9	4	1
10	4	1
10	17	1
10	18	1
11	3	1
11	5	1
11	7	1
12	4	1
12	9	1
12	14	1
12	18	1
12	19	1
12	22	1
13	3	1
13	17	1
15	22	1
16	5	1
17	3	1
18	4	1
19	1	1
19	3	1
19	11	1
20	5	1
20	8	1
22	3	1
22	4	1
23	3	1
24	4	1
24	7	1
25	3	1
25	35	1
26	4	1
27	4	1
27	18	1
27	23	1
32	2	1
33	26	1
34	17	1
35	3	1
