1	3	8
1	4	3
1	5	3
1	6	5
1	9	1
1	10	7
1	11	2
1	13	2
1	16	1
1	17	3
1	18	2
1	19	1
1	24	1
1	25	1
1	27	1
1	28	1
1	35	1
2	3	5
2	5	1
2	13	1
2	14	2
2	23	3
2	27	1
2	32	1
3	4	2
3	5	1
3	6	2
3	8	1
3	9	1
3	10	2
3	11	1
3	13	1
3	17	1
3	18	2
3	19	1
3	22	1
3	23	1
3	25	1
3	35	1
4	6	3
4	9	1
4	10	1
4	12	1
4	13	2
4	18	1
4	22	1
4	24	1
4	26	1
4	27	1
5	11	1
5	16	1
5	20	1
5	31	1
6	10	2
6	11	1
6	19	1
6	32	1
6	35	1
7	11	1
7	14	1
7	18	3
7	24	1
7	26	1
8	20	1
9	12	1
10	17	1
10	18	1
11	19	1
11	33	2
12	14	1
12	18	1
12	19	1
12	22	1
13	17	1
14	22	2
15	22	1
17	34	1
18	27	1
23	27	1
25	35	1
26	33	1
